cartodb_id;address_id;the_geom;the_geom_webmercator;code;status;postalcode;street;housenr;housenrext;city;rooms;price;priceext;sale_type;type;area;lotsize;volume;yearofconstruction;listedsince;dateofsale;broker
757841;0307200000548461;0101000020407100006DE7FBA94DE60241E92631087E371C41;0101000020110F0000BD215390F24A2241835955E7150B5A41;40458135;Verkocht;3817KA;Leusderweg;24;l;Amersfoort;3;210000;k.k.;VK;1;62;NULL;NULL;NULL;2017-11-08;NULL;Hendriks Makelaardij Amersfoort
733456;0307200000411883;01010000204071000000000000080D0341C3F5285C1C3C1C41;0101000020110F00002A1D5108B25A22412539235A8E0B5A41;40464219;Verkocht;3816MA;Beethovenweg;11;c;Amersfoort;5;200000;k.k.;VK;1;108;NULL;NULL;NULL;2016-11-29;NULL;Snel ERA makelaars
737292;0307200000431016;010100002040710000713D0AD711CB0241C3F5285C33241C41;0101000020110F000052D5A197E03F224168B02C9F1E095A41;40466628;Verkocht;3818BJ;Kapelweg;135;b;Amersfoort;4;170000;k.k.;VK;1;62;NULL;NULL;NULL;2017-11-15;NULL;Telman & Van Leeuwen Makelaars
733097;0307200000409765;010100002040710000295C8FC2FDF2024152B81E85902A1C41;0101000020110F0000B53D4C231B50224136A735A8C4095A41;40467295;Verkocht;3817ST;Woestijgerweg;210;b;Amersfoort;3;185000;k.k.;VK;1;64;NULL;NULL;NULL;2017-11-16;NULL;Woonvast Makelaars
755401;0307200000527725;01010000204071000006819543E0090341713D0A57CF4D1C41;0101000020110F0000E7B2D04D6A5922417F8E92315C0D5A41;40473247;Verkocht;3814AG;Van Randwijcklaan;107;b;Amersfoort;7;299000;k.k.;VK;1;116;638;NULL;NULL;NULL;NULL;Woonvast Makelaars
751518;0307200000503728;01010000204071000000000000460D034114AE47E1793D1C41;0101000020110F00008B9F494ECB5A2241097837F9B10B5A41;40482083;Verkocht;3816MH;Valeriushof;18;a;Amersfoort;5;210000;k.k.;VK;1;82;NULL;NULL;NULL;2016-11-29;NULL;Hendriks Makelaardij Amersfoort
749433;0307200000493603;0101000020407100008FC2F528FEF1024185EB51B80E321C41;0101000020110F0000D524CA4AB34F224192F26F1E880A5A41;40484057;Verkocht;3817CM;Arnhemseweg;172;c;Amersfoort;3;150000;k.k.;VK;1;61;NULL;NULL;NULL;2017-12-09;NULL;Telman & Van Leeuwen Makelaars
731759;0307200000402688;0101000020407100000AD7A3708B0C0341EC51B81EFF401C41;0101000020110F0000C73E7A997F5A2241CC428CD40D0C5A41;40489679;Verkocht;3816PD;Johan Wagenaarstraat;4;d;Amersfoort;5;200000;k.k.;VK;1;113;NULL;NULL;NULL;2016-11-29;NULL;Hendriks Makelaardij Amersfoort
752651;0307200000509820;0101000020407100007B14AE474B17034185EB51B8783A1C41;0101000020110F0000A3F29546DE5E2241CAAE0B8D630B5A41;40495103;Verkocht;3816CK;Ringweg-Randenbroek;44;b;Amersfoort;2;120000;k.k.;VK;1;50;NULL;NULL;NULL;2017-12-09;NULL;Succesmakelaars
751067;0307200000501664;0101000020407100003D0AD7A3A4000341E17A14AE5C4F1C41;0101000020110F00009E8C1D00A95522416834FFB7840D5A41;40495711;Verkocht;3814VK;Van Spilbergenstraat;1;b;Amersfoort;3;169500;k.k.;VK;1;74;NULL;NULL;NULL;2016-11-29;NULL;Reinerie Garantiemakelaars Amersfoort
753391;0307200000513420;01010000204071000077BE9F1A8CE00241A69BC4A0F0241C41;0101000020110F0000C5A0B0AB9B4822419A24C4F131095A41;40497592;Verkocht;3817JW;Keesomstraat;27;a;Amersfoort;3;160000;k.k.;VK;1;55;NULL;NULL;NULL;2017-12-12;NULL;Drenth Makelaars
751599;0307200000504201;0101000020407100003D0AD7A36217034100000000623A1C41;0101000020110F00009D21EDC4E75E2241F5C8313C610B5A41;40505771;Verkocht;3816CK;Ringweg-Randenbroek;46;d;Amersfoort;2;125000;k.k.;VK;1;42;NULL;NULL;NULL;2016-11-29;NULL;Nationaal Makelaars Collectief Amersfoort (Namaco)
751730;0307200000505006;010100002040710000B81E85EB1FE902410AD7A37017291C41;0101000020110F0000D67B9B48184C2241BD1ED93C9E095A41;40511881;Verkocht;3817ZL;Réaumurstraat;29;b;Amersfoort;4;192500;k.k.;VK;1;65;NULL;NULL;NULL;2016-11-29;NULL;Margitte Schoof Makelaardij o.z.
3811081;NULL;NULL;NULL;40512565;Verkocht;3824LZ;Karper;86;p;Amersfoort;3;229000;k.k.;VK;NULL;90;NULL;NULL;NULL;2016-11-29;NULL;Govaert Makelaardij Verhuur & Beheer
3766586;NULL;NULL;NULL;40513261;Verkocht;3817HC;Everard Meysterweg;65;c;Amersfoort;4;164000;k.k.;VK;NULL;49;NULL;NULL;NULL;2016-11-29;NULL;Woonvast Makelaars
747093;0307200000481913;010100002040710000EC51B81E650B0341CDCCCCCC3B391C41;0101000020110F0000CADD1094075A22414D07614A430B5A41;40514710;Verkocht;3816NL;Bachweg;94;c;Amersfoort;4;179000;k.k.;VK;1;69;NULL;NULL;NULL;2016-11-29;NULL;Landheeren
747578;0307200000484446;010100002040710000A4703D0AC91903417B14AE47253B1C41;0101000020110F00009A1C8EA5E15F2241560FBD20750B5A41;40523285;Verkocht;3816VC;Weberstraat;2;6;Amersfoort;NULL;15000;k.k.;VK;NULL;18;NULL;NULL;NULL;2016-11-29;NULL;Hendriks Makelaardij Amersfoort
